,age,height_cm,weight_kg,overall,potential,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
movement_agility,-0.008175484,-0.61288584,-0.529089934,0.279888649,0.236696975,0.306966169,0.688566793,0.712375079,0.498184473,0.525550695,0.726538553,-0.243394866,-0.221255292,0.716827205,0.656721069,0.285629816,0.625280626,0.637408904,0.77369879,0.700562023,0.613929039,0.54104474,0.714734757,0.825777514,0.771623477,1,0.28315992,0.772536331,0.447846719,0.180870097,0.577272431,-0.206302435,0.664197209,0.274522589,0.170904392,0.721559916,0.603103269,0.578093264,0.491820365,,0.16826433,0.153222037,-0.544565026,-0.544943891,-0.543435865,-0.541625675,-0.544961702
mentality_penalties,0.137646623,-0.321531109,-0.234966386,0.328198058,0.196769131,0.343187099,0.690201777,0.204929733,0.798171769,0.497795194,0.580467202,-0.37161575,0.001451278,0.654724889,0.849292001,0.570437928,0.686064076,0.846056546,0.780318869,0.757810006,0.736170711,0.548512566,0.775623615,0.547178357,0.5365313,0.578093264,0.354374982,0.497735403,0.674846082,0.138975841,0.52923524,0.089320118,0.822384724,0.359030801,0.114559759,0.813421249,0.626693852,1,0.601130684,,0.1141145,0.078395333,-0.62645169,-0.624779942,-0.619701875,-0.621026599,-0.625137807
value_eur,0.084973088,0.004123977,0.04470995,0.630085121,0.571925273,0.162841954,0.293722289,0.202829395,0.339696759,0.461792276,0.445942492,0.170124751,0.248348084,0.260727419,0.242152253,0.182118464,0.329672277,0.270210123,0.269241224,0.290695354,0.251080122,0.311819955,0.300466106,0.177953328,0.18219393,0.200203353,0.558071092,0.129540843,0.354212484,0.141239706,0.226477454,0.145137133,0.268848904,0.204890486,0.157885503,0.253830586,0.366410083,0.222883944,0.447075606,,0.131715158,0.111672203,-0.012058592,-0.010815704,-0.012852737,-0.009644366,-0.010511631
release_clause_eur,0.071332737,0.003432754,0.039706889,0.626276893,0.58710843,0.161588832,0.290422849,0.205054965,0.336230191,0.459203374,0.445306486,0.170477765,0.24163902,0.259020738,0.239931636,0.180375282,0.328479101,0.265518858,0.268759814,0.288580758,0.246987483,0.310697672,0.299494724,0.178254473,0.183242197,0.198516339,0.555200068,0.128403619,0.349039735,0.135674473,0.221853061,0.139585098,0.265632504,0.20171906,0.157147739,0.25145506,0.363914272,0.220491111,0.443632077,,0.131964027,0.11246121,-0.011835615,-0.010564774,-0.012586978,-0.009227781,-0.010114702
potential,-0.2621954,-0.01111303,-0.023859778,0.636366207,1,0.161616226,0.297293473,0.271554711,0.286300693,0.438484894,0.478472142,0.17450482,0.162332544,0.257515157,0.217647672,0.179781496,0.351070721,0.230762922,0.308378691,0.27723172,0.215330033,0.314737193,0.332585002,0.240036679,0.240677931,0.236696975,0.512925813,0.155215176,0.336308883,0.113710697,0.208669907,0.065667107,0.243390686,0.190117416,0.158788008,0.229675645,0.339285003,0.196769131,0.425953262,,0.158618929,0.145028215,-0.035176933,-0.034622172,-0.03985651,-0.033218877,-0.03455221
wage_eur,0.157283588,0.022355741,0.06150362,0.574229628,0.474696198,0.150773148,0.265846205,0.129929467,0.303545098,0.421394765,0.39144406,0.178096911,0.239822032,0.247768706,0.218520035,0.195445718,0.309383976,0.255625577,0.245966385,0.274989397,0.241669395,0.298603899,0.281953243,0.132122325,0.135377519,0.166320036,0.512740869,0.105877339,0.334018446,0.143924151,0.196167211,0.150567046,0.250951013,0.216048318,0.168513915,0.234888632,0.335178135,0.221636147,0.424969331,,0.141823376,0.122777683,-0.019757436,-0.019939876,-0.021263177,-0.018417883,-0.019408384
power_stamina,0.121206041,-0.283207316,-0.216599603,0.381869262,0.208669907,0.234770147,0.556631804,0.268066518,0.209358055,0.415997882,0.347429941,0.366094091,0.595835344,0.678116664,0.527530018,0.64214047,0.734690362,0.534451094,0.697277653,0.601862853,0.545823155,0.651949978,0.740472012,0.610078422,0.616865732,0.577272431,0.39825091,0.489374308,0.390444906,0.356654056,1,0.277279562,0.604193802,0.663229908,0.595883963,0.656574072,0.479934328,0.52923524,0.571736731,,0.588451024,0.563171403,-0.693706222,-0.692468437,-0.690442796,-0.688849825,-0.694240028
movement_balance,-0.075239942,-0.765172957,-0.651619975,0.128348945,0.155215176,0.254274819,0.590103083,0.536444268,0.327036804,0.400086259,0.551589654,-0.194684943,-0.375716166,0.637127983,0.541413809,0.200067586,0.547684467,0.528486942,0.671413697,0.605514911,0.539891664,0.478040198,0.61624878,0.715887116,0.645560704,0.772536331,0.155342378,1,0.321954396,0.148313805,0.489374308,-0.361986454,0.552551318,0.21897966,0.1783536,0.614216385,0.500085069,0.497735403,0.366917367,,0.189132998,0.183693068,-0.520728271,-0.521553816,-0.518240679,-0.518640633,-0.520437531
international_reputation,0.275242557,0.038902101,0.090622668,0.440987371,0.308359674,0.122970022,0.195549961,-0.006978917,0.261760177,0.344644552,0.289583723,0.132853779,0.168448239,0.178784033,0.164944888,0.150091662,0.227578799,0.227848284,0.163785887,0.218633645,0.208912064,0.229075088,0.200195101,0.021560907,0.019346305,0.088155474,0.403750255,0.05121173,0.278399467,0.111826326,0.071894656,0.125005207,0.19806296,0.166537523,0.119700714,0.170077237,0.271616862,0.203010615,0.358653936,,0.085928652,0.071150641,0.007302971,0.007928942,0.006660429,0.010594669,0.007121771
age,1,0.089297466,0.240206589,0.468196734,-0.2621954,0.073719929,0.063209537,-0.183110672,0.241837485,0.339924713,0.183413933,0.254840475,0.440532982,0.127914828,0.082528243,0.148628805,0.147001695,0.139520888,0.027099425,0.141459061,0.182621566,0.188677809,0.094225823,-0.136919646,-0.130692766,-0.008175484,0.456416322,-0.075239942,0.267955898,0.202540612,0.121206041,0.35090815,0.15609851,0.248075055,0.187173444,0.096430595,0.19881001,0.137646623,0.361039218,,0.107214668,0.09134431,0.114229066,0.11511323,0.115437443,0.127365976,0.114510929
